code;nom;adresse;ville;tt;TYPE;image
75014;BEAUNIER;43, RUE BEAUNIER;PARIS;48.824459, 2.327765;E;https://imgs.search.brave.com/itSx_vpeuuRHuj7Jl9zZh4D1PSIKwiT_gmRLmR98Dm4/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9saDUu/Z29vZ2xldXNlcmNv/bnRlbnQuY29tL3Av/QUYxUWlwTTkybnpS/U1NqUXRFb3kxZnRV/ZGVubjNGdWdnTWp3/STRRZmlYNEU9czA
75005;MOUFFETARD;20, RUE ORTOLAN;PARIS;48.843234, 2.349667;E;https://imgs.search.brave.com/UogvR0wrLsxvhdHCq3X8fM3XZ2FouEbJ7pgaxSiFDbQ/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly93d3cu/YXR5cGl4LnBob3Rv/L3dwLWNvbnRlbnQv/dXBsb2Fkcy8yMDIz/LzAzL3Nob290aW5n/LXBob3RvLXJlc3Rh/dXJhbnQtZGVjb3Jh/dGlvbi5qcGc
75002;SAINT-SAUVEUR;8, RUE SAINT-SAUVEUR;PARIS;48.865929, 2.349476;E;https://imgs.search.brave.com/MJ456ot6WdObuThiuZ2TzGnTj7lqLLvrJhdEJt07PvI/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9pbWcu/ZnJlZXBpay5jb20v/cGhvdG9zLXByZW1p/dW0vdmFpc3NlbGxl/LWJlbGxlLW1pc2Ut/dGFibGUtYXUtcmVz/dGF1cmFudF83MzQ5/Mi00OTkuanBnP3Nl/bXQ9YWlzX2h5YnJp/ZCZ3PTc0MA
75002;GRAMONT;28, RUE GRAMONT;PARIS;48.870961, 2.33703;E;https://imgs.search.brave.com/JR2ZERKsSM7YKyGVjYFDGIOOVRk8DQ2NOkF_ZaFdM70/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9tZWRp/YS5nZXR0eWltYWdl/cy5jb20vaWQvMTM1/NjE3MDQ0OS9mci9w/aG90by9hLWRheXRp/bWUtdmlldy1vZi1h/LXBhcmlzLWNhZmUt/c3RvY2stcGhvdG8u/anBnP3M9NjEyeDYx/MiZ3PTAmaz0yMCZj/PVFwSkF5TVVrd2th/UHItM3RTQlc1ZkV4/a3cxSTZKVVNKRkFD/b3dsRDYwNFU9
75013;TOLBIAC;166, RUE DE TOLBIAC;PARIS;48.826031, 2.352555;E;https://imgs.search.brave.com/b-DUUPJysHE5WPbqSY4e0iKNNK-JRyi9VHA2GeVFqjY/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9zdGF0/aWMudmVjdGVlenku/Y29tL3RpL3Bob3Rv/cy1ncmF0dWl0ZS90/Mi8yNTMzODExMi12/aWRlLWEtbC1pbnRl/cmlldXItcmVzdGF1/cmFudC1ub3Vycml0/dXJlLWxhZ3JhcGhp/ZS1haS1nZW5lcmUt/cGhvdG8uanBn
75017;EPINETTES;51, RUE DES EPINETTES;PARIS;48.896416, 2.323344;S;https://imgs.search.brave.com/N0j7BJlL560J25yvPZsKMXEXcuzQcy3MDzxlBFen4-Y/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly90aHVt/YnMuZHJlYW1zdGlt/ZS5jb20vYi9ncmFu/ZGUtY3Vpc2luZS1k/ZS1sdXhlLWRlLXJl/c3RhdXJhbnQtMjMx/ODU0NC5qcGc
75010;VERDUN;14, AVENUE DE VERDUN;PARIS;48.876266, 2.361942;E;https://imgs.search.brave.com/CStV4a_un2QjX1sEaGvONOoWzbGnW5tO6kW0kTArO9I/rs:fit:860:0:0:0/g:ce/aHR0cHM6Ly9jZG4u/Y3JlYXRlLnZpc3Rh/LmNvbS9hcGkvbWVk/aWEvc21hbGwvMjA3/NDQ0Mjc0L3N0b2Nr/LXBob3RvLWRlbGlj/aW91cy1tZWFsLXJ1/c3RpYy10YWJsZS1t/b2Rlcm4tcmVzdGF1/cmFudA
75004;AVE MARIA;4, RUE DE L'AVE MARIA;PARIS;48.852746, 2.360534;E;https://cdn.create.vista.com/api/media/small/312096012/stock-photo-render-wooden-style-cafe-restaurant
75008;MARCHE DE L'EUROPE;11, RUE MALLEVILLE;PARIS;48.877284, 2.313452;S;https://cdn.create.vista.com/api/media/small/366482708/stock-photo-new-and-clean-luxury-restaurant-in-european-style-round-mirrors-decoration
75015;LA QUINTINIE;18, RUE BARGUE;PARIS;48.839301, 2.30718;E;https://cdn.create.vista.com/api/media/small/18860391/stock-photo-modern-restaurant
